open,high,low,close,volume
372.53133376,372.53133376,369.9844279,370.28693396,5062283.0
370.23814266,371.31155126,369.73071314,370.98952868,4292161.0
370.94073738,372.59964158,370.49185742,371.73115644,4920757.0
371.77018948,371.8872886,370.4723409,371.18469388,2811161.0
371.17493562,371.3505843,370.325967,371.302768826,3233412.0
371.301793,371.48719994,370.12104354,370.325967,3190025.0
370.35524178,371.14566084,369.95515312,370.80412174,2579189.0
370.82363826,370.83339652,369.60385576,370.01370268,1868311.0
369.98930703,370.62847306,369.838054,370.6187148,2371894.0
370.6187148,370.92122086,370.00394442,370.04297746,1723041.0
370.0820105,370.99928694,370.05273572,370.51137394,1238960.0
370.54064872,370.81388,369.9356366,370.57968176,1506525.0
370.55040698,371.2530017,370.44306612,370.44306612,1362818.0
370.43330786,370.63823132,370.16495571,370.31620874,926503.0
370.30645048,370.51137394,370.00882355,370.16983484,1169900.0
370.15519745,372.20931118,369.8868453,371.77994774,3727108.0
371.81898078,372.23858596,371.3993756,371.44328777,3677349.0
371.44328777,371.80922252,371.14566084,371.18469388,1945610.0
371.21396866,371.8384973,371.18469388,371.48719994,1703336.0
371.4481669,371.5945408,370.87242956,371.0578365,1309718.0
371.06759476,372.16051988,370.95049564,371.82873904,1452723.0
371.84825556,372.4727842,371.76043122,371.789706,1335075.0
371.79458513,371.80922252,370.72605566,370.77484696,1957311.0
370.77484696,371.13590258,370.2283844,370.4235496,2350424.0
370.41379134,370.76996783,370.02834007,370.1795931,2814668.0
370.17471397,370.69678088,369.75510879,370.26741744,5789322.0
370.25765918,370.39427482,370.11128528,370.20886788,4308712.0
